cut	BPU_1	BPU_3	DE_18	DE_3	EA_41	EA_44	EA_48	EA_200	D_98	D_99	IP_43	IP_43a	BPU_20	BPU_21	BPU_22	BPU_23	BPU_28a	BPU_28b	BPU_29	BPU_7	BPU_8	BPU_3	BPU_4	BPU_1	BPU_25	BPU_26	BPU_26*	BPU_26b	DE_36	EA_93	DE_25	DE_33	DE_102	DE_105	DE_28	DE_31	DE_16	DE_29	EA_16	EA_10	EA_90	EA_8	EA_9	EA_34	EA_35	EA_22	EA_22a	EA_23	IP_33a	IP_33b	IP_33c	BPU_24	IS_91	IS_40	IS_31	IS_32	IS_33	IS_34	IS_36	IS_37	IS_39	IS_39a	IS_58	IS_20	DE_48	EA_31	IS_5	EA_48	IG_1	IG_66	DE_3	DE_99	DE_100	DE_101	DE_18	DE_98	IP_6	IP_34	IP_34a	IP_48	IP_43	IP_43a	IP_47	IP_47a	IG_22	IG_92	IG_91	IG_90
13501	691.18	664.87				0							335.11	58676	1667.87	60527	69.62	71.81	4.33	922.02	10.44	664.87	0.85	691.18	S/I	S/I	S/I	S/I		1.28	15.59	2.00	30.5	73.7	12.51	406.78	100	140		S/I	S/I			1.08	3.75	609.80	757.55	0.16				203.94	11.04	28.12	16.13	1	7.12	1.53	14.01	20.77	S/I	S/I	0.42		1.84		0.02	Comuna no costera	10.35	NO	54.25						0.02	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				NO	25.6	32.71
13601	847.4	732.06				0							196.11	51626	2107.78	38081	87.58	64.60	6.94	983.31	14.59	732.06	1.06	847.40	S/I	S/I	S/I	S/I		4.38	0.55	1.50	35.4	74.1	8.84	256.45	90	130		S/I	S/I			0.98	0	687.45	691.14	0.03				396.98	18.98	52.79	14.05	907	8.60	1.04	11.95	29.90	S/I	S/I	0.27		4.79		0.02	Comuna no costera	21.38	SI	47.97						0	NO	NO	NO	Sin ZT	Sin ZT				SI	8777	38.45
13602	912.95	736.83				0							385.91	21860	S/I	S/I	72.87	S/I	3.63	1450.93	8.00	736.83	0.91	912.95	S/I	S/I	S/I	S/I		5.51	0.21	1.21	30.1	75.5	15.55	176.20	85	120		S/I	S/I			1.01	2.59	588.56	381.36	S/I				145.23	10.91	35.50	24.10	459	9.31	1.17	6.09	27.02	S/I	S/I	1.04		2.37		0.01	Comuna no costera	41.83	NO	45.4						14.32	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				NO		46.02
13603	1071.91	977.48				0							468.69	15269	S/I	S/I	56.74	S/I	2.69	1392.25	20.81	977.48	0.80	1071.91	S/I	S/I	S/I	S/I		0.24	5.36	1.54	21.6	70.8	5.17	118.89	93	135		S/I	S/I			1.01	S/R	687.73	1864.14	S/I				142.51	17.15	66.53	24.02	474	8.99	1.03	10.32	24.30	S/I	S/I	2.26		4.57		0.01	Comuna no costera	55.69	NO	45.68						0	S/ZCH	S/ZCH	SI	Sin ZT	Sin ZT				S/I		41.99
13604	809.82	652.17				0							255.61	45158	2455.82	37400	82.22	68.10	7.17	1289.36	6.92	652.17	0.98	809.82	3079.73	S/I	S/I	0.1		S/I	23.50	1.50	34.3	82.6	2.88	291.93	90	120		14.95	8.16			1.33	S/R	678.02	376.52	0.24				448.00	28.97	32.25	17.43	1	8.21	1.88	10.27	21.13	50.00	22.13	0.55		8.18		0.02	Comuna no costera	60.52	NO	38.89						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		39.14
13605	998.6	636.77				0							313.70	59872	3644.10	26427	72.17	31.86	4.75	1319.17	8.68	636.77	0.84	998.60	S/I	S/I	S/I	S/I		0.67	16.00	1.60	33.5	71.9	1.03	264.25	120	130		S/I	S/I			1.12	1.13	693.80	552.13	0.02				538.31	11.74	42.57	13.13	1	7.82	1.27	7.92	14.91	84.61	19.75	0.16		3.15		0.04	Comuna no costera	62.67	NO	52.51						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				NO	0	39.59
14101	758.55	755.06				0	0.33						385.68	117776	1425.18	142022	76.48	92.23	11.18	1135.19	14.94	755.06	0.88	758.55	289.20	7.36	S/I	S/I		3.87	19.86	1.14	30.6	50.8	4.61	458.42	40	45		16.78	2.36			1.60	1.33	752.76	713.80	0.06				699.09	10.84	32.71	15.57	5	5.87	1.76	9.93	15.53	65.51	30.55	0.08		9.41		0.00	S/I	11.97	NO	49.29						1.1	S/ZCH	S/ZCH	SI	0	0				SI	790	31.33
15101	596.83	496.92				0	23.99						323.99	154433	1180.32	195939	76.03	96.46	3.75	1156.15	22.05	496.92	0.92	596.83	241.05	2.06	S/I	5.2		2.12	37.68	1.00	23.3	62.1	8.85	304.53	30	40		S/I	S/I			1.47	0.46	660.14	537.95	0.15				655.17	23.49	19.68	17.24	7	8.15	4.12	8.86	18.05	26.41	46.80	0.19		20.65		0.40	23.44	2.75	SI	50.14						0	NO	NO	SI	0	0				NO	150.2	29.07
16101	684.32	767.29				0							232.25	145225	1674.60	149111	86.27	88.58	5.75	1111.43	9.98	767.29	0.97	684.32	279.17	S/I	S/I	S/I		1.85	20.13	S/I	S/I	S/I	7.18	382.99	S/I	S/I		S/I	S/I			1.02	S/R	763.91	575.92	S/I				602.19	4.65	58.84	11.53	2	5.43	1.37	16.26	18.08	50.00	33.65	0.23		5.25		0.02	Comuna no costera	5.41	SI	43.83						0.45	S/ZCH	S/ZCH	SI	Sin ZT	Sin ZT				S/I		33.79
16103	573.05	752.11				0							313.80	18791	1572.94	27150	68.68	99.24	5.04	912.22	17.54	752.11	0.67	573.05	287.20	S/I	S/I	S/I		5.30	16.89	S/I	S/I	S/I	8.92	588.60	S/I	S/I		S/I	S/I			0.79	S/R	601.57	709.33	S/I				307.24	5.45	60.57	13.56	382	6.61	0.73	9.92	14.55	41.66	33.94	1.52		9.01		0.03	Comuna no costera	46.10	SI	57.1						0	S/ZCH	S/ZCH	SI	0	0				S/I		46.03
16301	535.19	543.63				0							288.51	27682	1353.43	32509	83.61	98.19	7.65	898.85	31.41	543.63	1.10	535.19	S/I	S/I	S/I	S/I		S/I	2.33	S/I	S/I	S/I	30.57	498.13	S/I	S/I		S/I	S/I			0.75	0	616.29	704.32	S/I				238.74	15.20	39.13	16.64	373	6.00	0.81	27.18	26.51	S/I	40.18	1.66		11.14		0.02	Comuna no costera	12.28	SI	66.97						7.14	NO	NO	SI	Sin ZT	Sin ZT				NO		41.75
